user_id,signup_date,city_tier,segment,preferred_device,acquisition_channel,engagement_band
U000001,2025-05-27,1,value,mobile,paid_social,Low
U000002,2025-11-15,1,regular,web,search,Med
U000003,2025-10-16,1,regular,web,referral,Med
U000004,2025-08-23,2,regular,web,referral,High
U000005,2025-08-21,1,regular,mobile,organic,High
U000006,2025-12-06,3,value,mobile,organic,Low
U000007,2025-05-26,3,value,mobile,organic,Med
U000008,2025-10-27,3,value,web,organic,Low
U000009,2025-06-24,2,premium,web,search,High
U000010,2025-05-28,3,value,web,organic,Med
U000011,2025-09-14,1,premium,mobile,paid_social,High
U000012,2026-01-04,2,value,web,organic,Low
U000013,2025-11-05,2,value,web,organic,Low
U000014,2025-11-12,3,value,mobile,paid_social,Low
U000015,2025-11-01,2,value,web,search,Low
U000016,2025-11-18,3,regular,mobile,search,Med
U000017,2025-09-10,1,regular,web,referral,High
U000018,2025-06-06,3,value,,email,Med
U000019,2025-12-01,2,regular,web,search,Med
U000020,2025-08-26,2,regular,web,organic,Med
U000021,2025-09-07,3,premium,web,organic,High
U000022,2025-08-06,2,premium,web,email,High
U000023,2025-06-19,2,regular,mobile,paid_social,Med
U000024,2025-12-23,2,regular,web,paid_social,Low
U000025,2025-11-17,1,regular,web,paid_social,Med
U000026,2025-10-13,2,regular,mobile,organic,Med
U000027,2025-08-14,1,regular,web,search,Med
U000028,2025-11-27,1,value,mobile,referral,Low
U000029,2025-09-18,3,regular,mobile,referral,High
U000030,2025-08-24,2,premium,web,organic,High
U000031,2025-08-26,2,value,mobile,paid_social,Med
U000032,2025-07-01,2,regular,web,organic,High
U000033,2025-05-28,2,premium,web,email,Low
U000034,2025-09-21,2,value,web,organic,Low
U000035,2025-12-13,3,regular,mobile,paid_social,Low
U000036,2025-05-21,3,premium,mobile,organic,Med
U000037,2025-12-06,2,premium,web,paid_social,Med
U000038,2025-11-28,2,value,mobile,paid_social,Low
U000039,2025-07-13,2,value,web,organic,Med
U000040,2025-10-10,2,regular,mobile,referral,Med
U000041,2025-06-15,2,value,mobile,referral,Med
U000042,2025-11-11,2,value,mobile,referral,Low
U000043,2025-10-27,2,value,mobile,organic,Med
U000044,2025-08-01,2,value,mobile,paid_social,Low
U000045,2025-05-22,2,regular,web,search,High
U000046,2026-01-03,2,regular,mobile,paid_social,Low
U000047,2025-08-24,1,regular,mobile,search,High
U000048,2025-12-15,1,regular,mobile,paid_social,Low
U000049,2025-10-22,2,regular,web,organic,Med
U000050,2025-11-16,2,value,mobile,search,Low
U000051,2025-11-11,1,value,web,organic,Low
U000052,2025-06-22,2,value,web,organic,Med
U000053,2025-08-04,3,value,web,organic,Low
U000054,2025-08-30,2,value,web,organic,Low
U000055,2025-09-06,3,value,mobile,referral,Low
U000056,2025-05-15,3,value,web,search,Med
U000057,2025-09-19,2,regular,mobile,organic,High
U000058,2025-06-12,2,regular,mobile,referral,High
U000059,2025-11-07,1,premium,web,email,Low
U000060,2025-10-23,3,regular,mobile,referral,Med
U000061,2025-12-22,2,regular,web,referral,Low
U000062,2025-11-07,3,value,mobile,email,Low
U000063,2025-08-05,2,regular,mobile,paid_social,High
U000064,2026-01-02,1,value,web,email,Low
U000065,2025-08-16,1,regular,mobile,email,High
U000066,2025-07-25,2,regular,web,organic,High
U000067,2025-12-18,2,regular,web,referral,Low
U000068,2025-08-05,1,value,mobile,referral,Med
U000069,2025-05-24,2,regular,web,paid_social,High
U000070,2025-08-30,3,regular,mobile,referral,Low
U000071,2025-11-20,2,regular,web,search,Low
U000072,2025-06-21,2,regular,web,search,High
U000073,2025-08-29,1,regular,mobile,paid_social,High
U000074,2025-06-06,3,value,web,paid_social,Med
U000075,2025-10-24,2,regular,mobile,referral,Med
U000076,2025-09-01,3,regular,web,referral,High
U000077,2025-07-26,2,value,mobile,paid_social,Med
U000078,2025-06-30,2,value,mobile,email,Med
U000079,2025-09-23,2,premium,web,organic,High
U000080,2025-10-20,1,regular,web,email,Med
U000081,2025-12-27,3,regular,web,organic,Low
U000082,2025-08-22,2,regular,mobile,search,High
U000083,2025-06-14,2,regular,web,organic,High
U000084,2025-11-30,3,regular,web,search,Low
U000085,2025-10-10,3,value,mobile,search,Low
U000086,2025-10-27,3,regular,web,organic,Med
U000087,2025-05-29,1,regular,web,paid_social,High
U000088,2025-07-22,2,value,web,paid_social,Low
U000089,2025-11-13,3,regular,web,organic,Med
U000090,2025-11-29,2,value,mobile,paid_social,Low
U000091,2025-08-22,1,regular,mobile,organic,High
U000092,2025-11-22,3,regular,mobile,organic,Med
U000093,2025-12-02,2,regular,mobile,organic,Med
U000094,2025-08-10,2,regular,web,paid_social,High
U000095,2025-12-16,3,premium,web,paid_social,Med
U000096,2025-07-16,2,regular,mobile,paid_social,High
U000097,2025-07-04,2,regular,mobile,referral,High
U000098,2025-10-23,2,regular,mobile,paid_social,Med
U000099,2025-10-11,2,value,web,referral,Low
U000100,2025-06-09,1,value,mobile,email,Med
U000101,2025-11-30,3,regular,mobile,search,Med
U000102,2025-06-24,3,value,mobile,organic,Med
U000103,2025-11-23,2,value,mobile,organic,Low
U000104,2025-05-06,2,regular,web,paid_social,High
U000105,2025-11-21,3,regular,web,search,Med
U000106,2025-11-18,1,value,web,organic,Low
U000107,2025-11-16,2,regular,web,referral,Low
U000108,2025-10-18,2,regular,mobile,email,Low
U000109,2025-08-31,2,regular,web,organic,High
U000110,2025-10-28,1,value,web,organic,Low
U000111,2025-07-13,2,regular,web,organic,High
U000112,2025-11-16,2,value,mobile,search,Low
U000113,2025-09-21,2,regular,web,referral,Med
U000114,2025-08-28,1,value,web,paid_social,Med
U000115,2025-09-08,2,premium,mobile,organic,Low
U000116,2025-09-24,2,value,web,search,Low
U000117,2025-05-14,1,regular,web,organic,High
U000118,2025-06-09,1,value,web,search,Med
U000119,2025-07-05,1,regular,mobile,search,Med
U000120,2025-06-02,2,regular,mobile,paid_social,High
U000121,2025-08-23,1,value,mobile,search,Med
U000122,2025-10-19,3,value,web,referral,Low
U000123,2025-10-16,2,value,mobile,organic,Low
U000124,2025-08-31,3,value,mobile,paid_social,Med
U000125,2025-12-05,3,premium,web,organic,Med
U000126,2025-09-23,1,regular,,organic,Med
U000127,2025-05-24,2,value,web,referral,Med
U000128,2025-11-13,3,premium,mobile,paid_social,Med
U000129,2025-09-26,2,value,web,organic,Low
U000130,2025-10-11,2,regular,web,search,Low
U000131,2025-09-23,2,regular,mobile,paid_social,High
U000132,2025-09-20,1,premium,mobile,email,High
U000133,2025-05-27,2,regular,mobile,paid_social,High
U000134,2025-09-22,3,regular,mobile,organic,Low
U000135,2025-11-20,3,premium,web,search,Med
U000136,2025-07-20,1,value,mobile,organic,Low
U000137,2025-10-03,2,premium,,organic,High
U000138,2025-05-12,2,regular,web,paid_social,High
U000139,2025-07-31,3,premium,mobile,paid_social,High
U000140,2025-08-22,1,value,web,organic,Med
