user_id,week_start,active_days_week,total_minutes_week,sessions_week,feature_usage_count_week,payment_attempts_week,payment_failures_week,renewal_due_flag
U000001,2025-06-30,2.0,59.800000000000004,5.0,6.0,0.0,0.0,0.0
U000001,2025-07-07,3.0,58.26,4.0,4.0,0.0,0.0,0.0
U000001,2025-07-14,1.0,28.63,2.0,3.0,0.0,0.0,0.0
U000001,2025-07-21,2.0,54.98,5.0,9.0,1.0,0.0,0.0
U000001,2025-07-28,4.0,102.34,6.0,13.0,0.0,0.0,0.0
U000001,2025-08-04,1.0,23.4,1.0,2.0,0.0,0.0,0.0
U000001,2025-08-11,3.0,33.34,4.0,3.0,0.0,0.0,0.0
U000001,2025-08-18,2.0,13.530000000000001,5.0,2.0,0.0,0.0,0.0
U000001,2025-08-25,4.0,54.33,5.0,6.0,1.0,0.0,0.0
U000001,2025-09-01,1.0,6.37,1.0,1.0,0.0,0.0,0.0
U000001,2025-09-08,2.0,26.799999999999997,4.0,3.0,0.0,0.0,0.0
U000001,2025-09-15,2.0,33.42,4.0,3.0,0.0,0.0,0.0
U000001,2025-09-22,2.0,30.46,2.0,6.0,1.0,0.0,0.0
U000001,2025-09-29,3.0,69.35,4.0,5.0,0.0,0.0,0.0
U000001,2025-10-06,3.0,74.4,9.0,9.0,0.0,0.0,0.0
U000001,2025-10-13,1.0,22.27,1.0,2.0,0.0,0.0,0.0
U000001,2025-10-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0
U000001,2025-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2025-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2025-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2025-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2025-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2025-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2025-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2025-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2026-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2026-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2026-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000001,2026-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000002,2025-11-10,2.0,53.41,3.0,4.0,0.0,0.0,0.0
U000002,2025-11-17,4.0,99.65,9.0,8.0,1.0,0.0,0.0
U000002,2025-11-24,6.0,183.68,11.0,12.0,0.0,0.0,0.0
U000002,2025-12-01,4.0,85.97,5.0,8.0,0.0,0.0,0.0
U000002,2025-12-08,3.0,162.16,12.0,19.0,0.0,0.0,0.0
U000002,2025-12-15,4.0,150.03,10.0,12.0,1.0,0.0,0.0
U000002,2025-12-22,2.0,34.96,2.0,3.0,0.0,0.0,0.0
U000002,2025-12-29,4.0,80.25,5.0,9.0,0.0,0.0,0.0
U000002,2026-01-05,5.0,105.81,7.0,9.0,0.0,0.0,0.0
U000002,2026-01-12,5.0,103.32,8.0,12.0,0.0,0.0,0.0
U000002,2026-01-19,3.0,109.21,5.0,9.0,0.0,0.0,0.0
U000002,2026-01-26,2.0,53.22,2.0,7.0,0.0,0.0,1.0
U000003,2025-10-13,3.0,116.71000000000001,6.0,13.0,1.0,0.0,0.0
U000003,2025-10-20,6.0,207.41,13.0,21.0,0.0,0.0,0.0
U000003,2025-10-27,4.0,100.71,6.0,12.0,0.0,0.0,0.0
U000003,2025-11-03,6.0,142.07999999999998,11.0,15.0,0.0,0.0,0.0
U000003,2025-11-10,4.0,95.72,4.0,14.0,0.0,0.0,0.0
U000003,2025-11-17,3.0,90.16,5.0,7.0,1.0,0.0,0.0
U000003,2025-11-24,4.0,97.48,5.0,10.0,0.0,0.0,0.0
U000003,2025-12-01,4.0,81.47999999999999,8.0,4.0,0.0,0.0,0.0
U000003,2025-12-08,3.0,75.28999999999999,7.0,9.0,0.0,0.0,0.0
U000003,2025-12-15,3.0,70.28,6.0,13.0,1.0,1.0,0.0
U000003,2025-12-22,2.0,81.35000000000001,9.0,8.0,0.0,0.0,0.0
U000003,2025-12-29,3.0,203.34,8.0,21.0,0.0,0.0,0.0
U000003,2026-01-05,3.0,93.57000000000001,7.0,7.0,0.0,0.0,0.0
U000003,2026-01-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
U000003,2026-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000003,2026-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000004,2025-08-18,2.0,64.71000000000001,3.0,4.0,0.0,0.0,0.0
U000004,2025-08-25,5.0,101.34,8.0,8.0,1.0,0.0,0.0
U000004,2025-09-01,6.0,166.74,8.0,20.0,0.0,0.0,0.0
U000004,2025-09-08,3.0,156.61,13.0,8.0,0.0,0.0,0.0
U000004,2025-09-15,3.0,70.54,5.0,8.0,0.0,0.0,0.0
U000004,2025-09-22,3.0,79.52,4.0,8.0,1.0,0.0,0.0
U000004,2025-09-29,3.0,65.08,7.0,10.0,0.0,0.0,0.0
U000004,2025-10-06,4.0,102.9,9.0,16.0,0.0,0.0,0.0
U000004,2025-10-13,2.0,50.55,2.0,3.0,0.0,0.0,0.0
U000004,2025-10-20,4.0,108.64,10.0,9.0,0.0,0.0,0.0
U000004,2025-10-27,5.0,247.56,17.0,18.0,1.0,0.0,0.0
U000004,2025-11-03,4.0,212.41,12.0,24.0,0.0,0.0,0.0
U000004,2025-11-10,1.0,54.98,4.0,3.0,0.0,0.0,0.0
U000004,2025-11-17,5.0,228.72,16.0,21.0,0.0,0.0,0.0
U000004,2025-11-24,5.0,165.49,12.0,12.0,1.0,0.0,0.0
U000004,2025-12-01,4.0,126.24000000000001,9.0,13.0,0.0,0.0,0.0
U000004,2025-12-08,2.0,50.64,2.0,4.0,0.0,0.0,0.0
U000004,2025-12-15,3.0,43.4,3.0,5.0,0.0,0.0,0.0
U000004,2025-12-22,5.0,283.82,13.0,25.0,0.0,0.0,0.0
U000004,2025-12-29,4.0,120.38,9.0,14.0,1.0,0.0,0.0
U000004,2026-01-05,5.0,119.81,6.0,10.0,0.0,0.0,0.0
U000004,2026-01-12,5.0,308.82,16.0,32.0,0.0,0.0,0.0
U000004,2026-01-19,5.0,173.47,10.0,18.0,0.0,0.0,0.0
U000004,2026-01-26,2.0,139.19,9.0,15.0,0.0,0.0,1.0
U000005,2025-08-18,3.0,219.95,14.0,23.0,0.0,0.0,0.0
U000005,2025-08-25,4.0,119.28,9.0,15.0,1.0,0.0,0.0
U000005,2025-09-01,5.0,238.14000000000001,11.0,25.0,0.0,0.0,0.0
U000005,2025-09-08,4.0,160.26999999999998,17.0,12.0,0.0,0.0,0.0
U000005,2025-09-15,3.0,86.53,4.0,15.0,0.0,0.0,0.0
U000005,2025-09-22,3.0,102.67,10.0,16.0,1.0,0.0,0.0
U000005,2025-09-29,5.0,147.66,8.0,19.0,0.0,0.0,0.0
U000005,2025-10-06,3.0,77.66,4.0,5.0,0.0,0.0,0.0
U000005,2025-10-13,3.0,101.46000000000001,5.0,15.0,0.0,0.0,0.0
U000005,2025-10-20,3.0,101.66,8.0,13.0,0.0,0.0,0.0
U000005,2025-10-27,2.0,62.06,4.0,4.0,2.0,1.0,0.0
U000005,2025-11-03,4.0,112.48,11.0,10.0,0.0,0.0,0.0
U000005,2025-11-10,4.0,204.55,17.0,21.0,0.0,0.0,0.0
U000005,2025-11-17,3.0,126.59,9.0,16.0,0.0,0.0,0.0
U000005,2025-11-24,5.0,134.88,11.0,11.0,1.0,0.0,0.0
U000005,2025-12-01,4.0,157.0,17.0,17.0,0.0,0.0,0.0
U000005,2025-12-08,5.0,173.33,7.0,14.0,0.0,0.0,0.0
U000005,2025-12-15,4.0,163.93,6.0,18.0,0.0,0.0,0.0
U000005,2025-12-22,3.0,54.28,3.0,3.0,1.0,0.0,0.0
U000005,2025-12-29,2.0,64.1,6.0,4.0,0.0,0.0,0.0
U000005,2026-01-05,4.0,124.88,11.0,10.0,0.0,0.0,0.0
U000005,2026-01-12,5.0,232.74,13.0,27.0,0.0,0.0,0.0
U000005,2026-01-19,3.0,88.15,3.0,15.0,0.0,0.0,0.0
U000005,2026-01-26,3.0,96.74,8.0,6.0,0.0,0.0,1.0
U000006,2025-12-01,1.0,5.09,3.0,2.0,0.0,0.0,0.0
U000006,2025-12-08,4.0,96.27,7.0,6.0,1.0,0.0,0.0
U000006,2025-12-15,2.0,69.80000000000001,3.0,12.0,0.0,0.0,0.0
U000006,2025-12-22,2.0,32.2,2.0,4.0,0.0,0.0,0.0
U000006,2025-12-29,4.0,68.98,6.0,7.0,0.0,0.0,0.0
U000006,2026-01-05,5.0,94.71000000000001,6.0,8.0,0.0,0.0,0.0
U000006,2026-01-12,2.0,47.4,2.0,7.0,0.0,0.0,0.0
U000006,2026-01-19,2.0,31.6,2.0,7.0,0.0,0.0,0.0
U000006,2026-01-26,2.0,33.910000000000004,2.0,2.0,0.0,0.0,1.0
U000007,2025-06-30,2.0,79.84,4.0,2.0,0.0,0.0,0.0
U000007,2025-07-07,2.0,31.89,2.0,6.0,0.0,0.0,0.0
U000007,2025-07-14,1.0,31.77,1.0,2.0,0.0,0.0,0.0
U000007,2025-07-21,2.0,22.04,2.0,3.0,1.0,1.0,0.0
U000007,2025-07-28,3.0,71.83,5.0,8.0,0.0,0.0,0.0
U000007,2025-08-04,4.0,73.74,8.0,9.0,0.0,0.0,0.0
U000007,2025-08-11,2.0,39.769999999999996,3.0,4.0,0.0,0.0,0.0
U000007,2025-08-18,4.0,106.1,8.0,7.0,0.0,0.0,0.0
U000007,2025-08-25,1.0,18.43,2.0,3.0,1.0,0.0,0.0
U000007,2025-09-01,3.0,86.26,3.0,10.0,0.0,0.0,0.0
U000007,2025-09-08,1.0,14.44,3.0,1.0,0.0,0.0,0.0
U000007,2025-09-15,2.0,59.72,2.0,8.0,0.0,0.0,0.0
U000007,2025-09-22,3.0,41.58,4.0,5.0,1.0,0.0,0.0
U000007,2025-09-29,4.0,54.650000000000006,7.0,5.0,0.0,0.0,0.0
U000007,2025-10-06,2.0,75.96000000000001,4.0,8.0,0.0,0.0,0.0
U000007,2025-10-13,2.0,39.35,2.0,5.0,0.0,0.0,0.0
U000007,2025-10-20,1.0,40.82,5.0,3.0,1.0,0.0,0.0
U000007,2025-10-27,1.0,26.46,3.0,3.0,0.0,0.0,0.0
U000007,2025-11-03,4.0,59.66,4.0,8.0,0.0,0.0,0.0
U000007,2025-11-10,1.0,23.08,1.0,3.0,0.0,0.0,0.0
U000007,2025-11-17,3.0,55.46,3.0,4.0,1.0,0.0,0.0
U000007,2025-11-24,2.0,15.74,5.0,3.0,0.0,0.0,0.0
U000007,2025-12-01,2.0,41.42,3.0,8.0,0.0,0.0,0.0
U000007,2025-12-08,2.0,65.49,5.0,5.0,0.0,0.0,0.0
U000007,2025-12-15,3.0,85.86,8.0,12.0,0.0,0.0,0.0
U000007,2025-12-22,1.0,18.17,2.0,3.0,1.0,0.0,0.0
U000007,2025-12-29,3.0,91.52,8.0,6.0,0.0,0.0,0.0
U000007,2026-01-05,2.0,47.28,4.0,7.0,0.0,0.0,0.0
U000007,2026-01-12,3.0,65.44,3.0,6.0,0.0,0.0,0.0
U000007,2026-01-19,4.0,69.95,8.0,9.0,0.0,0.0,0.0
U000007,2026-01-26,1.0,18.84,1.0,1.0,0.0,0.0,1.0
U000008,2025-10-27,4.0,94.03,5.0,6.0,1.0,0.0,0.0
U000008,2025-11-03,3.0,56.61,5.0,7.0,0.0,0.0,0.0
U000008,2025-11-10,3.0,84.36,9.0,6.0,0.0,0.0,0.0
U000008,2025-11-17,1.0,55.15,3.0,5.0,0.0,0.0,0.0
U000008,2025-11-24,5.0,122.92,8.0,16.0,0.0,0.0,0.0
U000008,2025-12-01,3.0,87.98,7.0,12.0,1.0,0.0,0.0
U000008,2025-12-08,3.0,75.88,3.0,12.0,0.0,0.0,0.0
U000008,2025-12-15,3.0,67.03999999999999,6.0,6.0,0.0,0.0,0.0
U000008,2025-12-22,5.0,81.97,6.0,12.0,0.0,0.0,0.0
U000008,2025-12-29,1.0,22.64,1.0,4.0,2.0,1.0,0.0
U000008,2026-01-05,4.0,89.37,5.0,11.0,0.0,0.0,0.0
U000008,2026-01-12,1.0,22.47,2.0,1.0,0.0,0.0,0.0
U000008,2026-01-19,2.0,58.76,5.0,6.0,0.0,0.0,0.0
U000008,2026-01-26,2.0,46.55,2.0,6.0,0.0,0.0,1.0
U000009,2025-06-30,2.0,65.44,5.0,4.0,1.0,0.0,0.0
U000009,2025-07-07,5.0,217.1,10.0,24.0,0.0,0.0,0.0
U000009,2025-07-14,3.0,143.43,10.0,17.0,0.0,0.0,0.0
U000009,2025-07-21,6.0,292.43,18.0,32.0,0.0,0.0,0.0
U000009,2025-07-28,6.0,290.1,12.0,24.0,1.0,0.0,0.0
U000009,2025-08-04,2.0,107.89999999999999,6.0,16.0,0.0,0.0,0.0
U000009,2025-08-11,5.0,288.73,21.0,39.0,0.0,0.0,0.0
U000009,2025-08-18,4.0,168.19,10.0,18.0,0.0,0.0,0.0
U000009,2025-08-25,2.0,57.900000000000006,5.0,5.0,1.0,0.0,0.0
U000009,2025-09-01,3.0,223.13,12.0,24.0,0.0,0.0,0.0
U000009,2025-09-08,4.0,168.21,9.0,14.0,0.0,0.0,0.0
U000009,2025-09-15,5.0,283.2,13.0,25.0,0.0,0.0,0.0
U000009,2025-09-22,5.0,242.18,12.0,19.0,0.0,0.0,0.0
U000009,2025-09-29,2.0,68.19,5.0,8.0,1.0,0.0,0.0
U000009,2025-10-06,5.0,202.48,16.0,20.0,0.0,0.0,0.0
U000009,2025-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000009,2025-10-20,4.0,263.23,13.0,17.0,0.0,0.0,0.0
U000009,2025-10-27,4.0,192.18,7.0,21.0,1.0,0.0,0.0
U000009,2025-11-03,3.0,108.56,7.0,10.0,0.0,0.0,0.0
U000009,2025-11-10,4.0,189.10999999999999,12.0,16.0,0.0,0.0,0.0
U000009,2025-11-17,3.0,134.05,5.0,15.0,0.0,0.0,0.0
U000009,2025-11-24,4.0,243.45999999999998,8.0,26.0,1.0,0.0,0.0
U000009,2025-12-01,3.0,132.97,9.0,15.0,0.0,0.0,0.0
U000009,2025-12-08,5.0,238.59,11.0,35.0,0.0,0.0,0.0
U000009,2025-12-15,4.0,397.28,22.0,44.0,0.0,0.0,0.0
U000009,2025-12-22,4.0,191.1,10.0,16.0,1.0,0.0,0.0
U000009,2025-12-29,5.0,289.12,10.0,39.0,0.0,0.0,0.0
U000009,2026-01-05,4.0,180.86,13.0,17.0,0.0,0.0,0.0
U000009,2026-01-12,4.0,265.11,15.0,24.0,0.0,0.0,0.0
U000009,2026-01-19,5.0,181.5,5.0,24.0,0.0,0.0,0.0
U000009,2026-01-26,3.0,90.28999999999999,7.0,8.0,0.0,0.0,1.0
U000010,2025-06-30,0.0,0.0,0.0,0.0,1.0,0.0,0.0
U000010,2025-07-07,2.0,24.3,3.0,2.0,0.0,0.0,0.0
U000010,2025-07-14,1.0,45.44,2.0,5.0,0.0,0.0,0.0
U000010,2025-07-21,3.0,60.260000000000005,3.0,9.0,0.0,0.0,0.0
U000010,2025-07-28,2.0,33.769999999999996,3.0,5.0,2.0,1.0,0.0
U000010,2025-08-04,3.0,55.76,3.0,7.0,0.0,0.0,0.0
U000010,2025-08-11,3.0,74.41,4.0,6.0,0.0,0.0,0.0
U000010,2025-08-18,1.0,14.86,1.0,1.0,0.0,0.0,0.0
U000010,2025-08-25,2.0,36.519999999999996,4.0,2.0,1.0,0.0,0.0
U000010,2025-09-01,1.0,24.72,1.0,3.0,0.0,0.0,0.0
U000010,2025-09-08,3.0,64.34,3.0,10.0,0.0,0.0,0.0
U000010,2025-09-15,5.0,131.64,6.0,17.0,0.0,0.0,0.0
U000010,2025-09-22,5.0,184.57,11.0,21.0,0.0,0.0,0.0
U000010,2025-09-29,2.0,43.32,2.0,4.0,1.0,0.0,0.0
U000010,2025-10-06,4.0,68.4,6.0,9.0,0.0,0.0,0.0
U000010,2025-10-13,1.0,16.01,1.0,2.0,0.0,0.0,0.0
U000010,2025-10-20,5.0,83.22,10.0,10.0,0.0,0.0,0.0
U000010,2025-10-27,3.0,85.6,11.0,6.0,1.0,0.0,0.0
U000010,2025-11-03,4.0,112.71,6.0,18.0,0.0,0.0,0.0
